year,month,day,team_1_code,team_2_code,tournament_code,host_code,team_1_rank,team_2_rank,team_1_rating,team_2_rating,team_1_win_expectancy,draw_points_exchange,team_1_win_by_1_points,team_2_win_by_1_points,team_1_win_by_2_points,team_2_win_by_2_points,team_1_win_by_3_points,team_2_win_by_3_points,team_1_win_by_4_points,team_2_win_by_4_points,team_1_win_by_5_points,team_2_win_by_5_points,match_date,extracted_at,source
2026,6,22,DZ,JO,WC,US,34,55,1759,1653,65.0,-9,21,39,32,58,37,68,40,73,42,78,2026-06-22,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,22,FR,IQ,WC,US,3,66,2084,1592,94.0,-27,3,57,5,85,6,99,6,106,7,113,2026-06-22,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,22,NO,SN,WC,US,10,22,1929,1839,63.0,-8,22,38,34,56,39,66,42,71,45,75,2026-06-22,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,23,CO,CD,WC,MX,5,52,1998,1674,87.0,-22,8,52,12,78,14,91,15,97,16,104,2026-06-23,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,23,HR,PA,WC,CA,14,49,1881,1683,76.0,-15,15,45,22,68,25,80,27,85,29,91,2026-06-23,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,23,EN,GH,WC,US,4,72,2055,1557,95.0,-27,3,57,5,85,6,99,6,106,6,114,2026-06-23,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,23,PT,UZ,WC,US,8,47,1967,1698,82.0,-19,11,49,16,74,18,87,20,93,21,99,2026-06-23,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,24,BA,QA,WC,US,64,92,1596,1437,71.0,-13,17,43,26,64,30,75,32,80,34,86,2026-06-24,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,24,BR,SQ,WC,US,6,31,1986,1768,78.0,-17,13,47,20,70,23,82,25,88,27,93,2026-06-24,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
2026,6,24,CA,CH,WC,CA,28,13,1777,1885,49.0,1,31,29,46,44,54,51,58,55,61,59,2026-06-24,2026-06-22T22:10:43,https://www.eloratings.net/fixtures.tsv
