team,championships,probability
Argentina,208,0.208
France,205,0.205
Spain,187,0.187
Brazil,121,0.121
Switzerland,53,0.053
Portugal,42,0.042
Germany,31,0.031
Colombia,28,0.028
Japan,25,0.025
Mexico,25,0.025
England,22,0.022
United States,12,0.012
Morocco,8,0.008
Norway,7,0.007
Netherlands,6,0.006
Ecuador,5,0.005
Croatia,4,0.004
Belgium,3,0.003
Senegal,3,0.003
Canada,2,0.002
Iran,2,0.002
Sweden,1,0.001
