match_id,team_a,team_b
89,Czechia,Scotland
90,Japan,Netherlands
91,France,Germany
92,Mexico,Croatia
93,Bosnia and Herzegovina,Belgium
94,England,Spain
95,Canada,Argentina
96,Colombia,Turkey
