team_1,team_2,winner,loser,resolution
Czechia,Ecuador,Ecuador,Czechia,Extra Time
Japan,Brazil,Brazil,Japan,Regular Time
France,Germany,France,Germany,Regular Time
Mexico,Croatia,Mexico,Croatia,Extra Time
United States,Belgium,United States,Belgium,Regular Time
England,Spain,Spain,England,Regular Time
Canada,Argentina,Argentina,Canada,Regular Time
Colombia,Turkey,Colombia,Turkey,Regular Time
